event_id,catalogue_id,span_key,span_label,recording_id,source_file,channel,fs,morphology,trigger,up_region_start_idx,up_region_end_idx,onset_idx,onset_h,trough_idx,trough_h,snippet_start_idx,snippet_end_idx,snippet_key,onset_slope_raw,max_slope_raw,drop_depth_mv,rise_height_mv,fall_duration_s,peak_to_peak_mv,fall_dominance,rise_frac_used,pre_context_s,post_context_s,detrend_window_s,segment_seconds,same_fraction,slope_sigma,purity,is_pure,cluster_id
id001_r1_1213252,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1212834,1213128,1213252,337.01444444444445,1213351,337.0419444444444,1212809,1213520,id001_r1_1213252,-0.0002887123235075506,-0.0006403797350530149,15.061682018827959,18.234226524227182,99.0,18.65804827435963,0.8072485287502504,0.5,443.0,169.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1214169,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1213520,1213814,1214169,337.26916666666665,1214289,337.3025,1213490,1214402,id001_r1_1214169,-0.0004242212595043371,-0.00067730314411657,16.994848071273662,19.355324291153497,120.0,20.0382271188686,0.8481213417962908,0.5,679.0,113.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1215146,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1214402,1214794,1215146,337.54055555555556,1215259,337.57194444444445,1214468,1215480,id001_r1_1215146,-0.0004259805993338528,-0.0006958637813293533,18.39448908309954,21.128275803141083,113.0,21.75619243150617,0.8454829189900716,0.5,678.0,221.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1216093,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1215480,1215774,1216093,337.80361111111114,1216228,337.8411111111111,1215446,1216460,id001_r1_1216093,-0.0003164025135894144,-0.0007036234419022236,19.90372499686821,20.830235337749915,135.0,22.56508784545952,0.88205838741608,0.5,647.0,232.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1217026,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1216460,1216754,1217026,338.0627777777778,1217152,338.09777777777776,1216428,1217440,id001_r1_1217026,-0.00013484698236923554,-0.0007201545987354507,20.250940298985665,23.367693931526713,126.0,23.67434928987694,0.8553958569684907,0.5,598.0,288.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1217981,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1217440,1217832,1217981,338.3280555555556,1218090,338.35833333333335,1217413,1218420,id001_r1_1217981,-0.0001901282293590989,-0.0007166847185693659,20.942277665912222,24.56992992376361,109.0,24.754339380886613,0.846004304282999,0.5,568.0,330.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1218975,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1218420,1218812,1218975,338.6041666666667,1219099,338.6386111111111,1218389,1219498,id001_r1_1218975,-0.00024523573736817683,-0.0007404232607805816,22.460870574504412,25.571183122030604,124.0,25.71163426844053,0.8735683753122517,0.5,586.0,399.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1220047,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1219498,1219988,1220047,338.90194444444444,1220206,338.9461111111111,1219458,1220772,id001_r1_1220047,-0.0004729081612193653,-0.0007436489379182565,26.168103350026062,30.023769237305487,159.0,30.334373065303232,0.8626551566993619,0.5,589.0,566.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1221280,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1220772,1221262,1221280,339.24444444444447,1221416,339.28222222222223,1220738,1222144,id001_r1_1221280,-0.0002266559510784305,-0.0007740936415762123,26.986084531252065,33.813706161926305,136.0,35.41250910347576,0.762049490828182,0.5,542.0,728.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1222732,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1222144,1222732,1222732,339.6477777777778,1222833,339.67583333333334,1222126,1223439,id001_r1_1222732,-0.0007241613209227893,-0.0007241613209227893,24.824729821020185,35.0779170140284,101.0,37.97734700309635,0.6536720382020416,0.5,606.0,606.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1224460,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1223908,1224398,1224460,340.1277777777778,1224635,340.1763888888889,1223864,1225685,id001_r1_1224460,-0.00036473397856634504,-0.0007500414918359122,34.33641334434129,37.38814082174174,175.0,37.96512988541867,0.9044197517029682,0.5,596.0,1050.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1226559,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1225966,1226554,1226559,340.7108333333333,1226731,340.7586111111111,1225923,1227763,id001_r1_1226559,-0.0005279125336197232,-0.0007714711999928237,36.782573942936324,41.50698964320315,172.0,42.90507973382213,0.857301144086689,0.5,636.0,1032.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1229009,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1228318,1229004,1229009,341.3913888888889,1229228,341.45222222222225,1228263,1230542,id001_r1_1229009,-0.00028975458318925007,-0.0007316197627502685,43.79757991661953,52.31876755970083,219.0,53.401449608305676,0.8201571350191883,0.5,746.0,1314.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1231748,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1231062,1231748,1231748,342.15222222222224,1231982,342.21722222222223,1231004,1233386,id001_r1_1231748,-0.0006565277344679765,-0.0006565277344679765,39.00680572192544,50.15048447014925,234.0,57.64936360109252,0.6766216187889752,0.5,744.0,1404.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1234786,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1234002,1234786,1234786,342.99611111111113,1235034,343.065,1233940,1236522,id001_r1_1234786,-0.0007177778932775936,-0.0007177778932775936,44.384577357884595,55.21618804554224,248.0,58.91638477295641,0.7533486232892186,0.5,846.0,1488.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1238198,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1237334,1238118,1238198,343.94388888888886,1238398,343.99944444444446,1237284,1239598,id001_r1_1238198,-0.00040689678706368193,-0.0006875604267310154,44.838843064572366,56.35130476441924,200.0,56.546110619455916,0.7929606930232367,0.5,914.0,1200.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id001_r1_1244389,1,id001,ID 1,1,CH0.npy,0,1.0,sharkfin,rise,1243116,1243508,1244389,345.6636111111111,1244500,345.69444444444446,1243723,1245166,id001_r1_1244389,-0.0001388863930682216,-0.00031609197151516444,9.620101778033796,5.93847512905249,111.0,15.906819809962002,0.6047784467897845,0.5,666.0,666.0,4916.666666666667,98.33333333333334,0.6,8.0,1,1,-1
id003_r1_1132626,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1132293,1132453,1132626,314.61833333333334,1132727,314.6463888888889,1132268,1132813,id003_r1_1132626,-0.0001312928920251255,-0.00017498786610059547,6.3354186372098775,7.804184772709222,101.0,9.19372452001327,0.6891025093713308,0.5,358.0,86.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1133086,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1132813,1132933,1133086,314.74611111111113,1133241,314.7891666666667,1132774,1133293,id003_r1_1133086,-0.00013668000665748026,-0.00015012083223728268,6.996409155384908,6.408444044275097,155.0,8.66626290227318,0.8073155908470921,0.5,312.0,52.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1133582,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1133293,1133413,1133582,314.88388888888886,1133721,314.9225,1133258,1133813,id003_r1_1133582,-0.0001412905889746907,-0.00015207945370482312,6.770814647060918,7.400052017734026,139.0,8.48094877987382,0.798355799899272,0.5,324.0,92.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1134085,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1133813,1133973,1134085,315.0236111111111,1134252,315.07,1133771,1134333,id003_r1_1134085,-0.0001297147324342829,-0.00016187399387365686,7.415944129222362,7.676526817708417,167.0,8.401845266144626,0.8826565943918335,0.5,314.0,81.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1134580,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1134333,1134453,1134580,315.1611111111111,1134718,315.19944444444445,1134299,1134853,id003_r1_1134580,-0.00016710609687284328,-0.00016710609687284328,6.946846524849059,7.536532244414584,138.0,8.200055151324715,0.8471707075929605,0.5,281.0,135.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1135086,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1134853,1134973,1135086,315.3016666666667,1135211,315.3363888888889,1134822,1135333,id003_r1_1135086,-0.0001537216408838138,-0.0001537216408838138,6.563328603759356,6.870808717499566,125.0,8.223042900383836,0.7981630016125771,0.5,264.0,122.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1135576,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1135333,1135493,1135576,315.4377777777778,1135678,315.4661111111111,1135307,1135853,id003_r1_1135576,-0.00016434716607291455,-0.000187302126625849,6.394576760534731,7.489106628322972,102.0,8.432415988757992,0.7583326971842844,0.5,269.0,175.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1136083,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1135853,1135973,1136083,315.5786111111111,1136319,315.64416666666665,1135794,1136373,id003_r1_1136083,-0.00013065933069630886,-0.00015522085441696531,7.937328218064366,8.03495188716552,236.0,8.412057617498247,0.9435656029689599,0.5,289.0,54.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1136608,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1136373,1136533,1136608,315.72444444444443,1136717,315.7547222222222,1136346,1136893,id003_r1_1136608,-0.00014833326676588765,-0.00018340683740927788,6.994246710637753,8.348232319899008,109.0,8.787227564541034,0.7959560235883193,0.5,262.0,176.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1137114,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1136893,1137013,1137114,315.865,1137264,315.9066666666667,1136855,1137413,id003_r1_1137114,-0.00013417081418257149,-0.00016440115949428735,7.467643205071095,7.888698690389495,150.0,8.454865036327142,0.8832362400801961,0.5,259.0,149.0,1980.0,39.6,0.6,8.0,1,1,-1
id003_r1_1137616,3,id003,ID 3,1,CH0.npy,0,1.0,sharkfin,rise,1137413,1137533,1137616,316.00444444444446,1137747,316.04083333333335,1137380,1137933,id003_r1_1137616,-0.00014201008749883948,-0.0001489986085048134,7.196840261038062,7.852638637253884,131.0,8.339937836776834,0.8629369189422461,0.5,236.0,186.0,1980.0,39.6,0.6,8.0,1,1,-1
