threshold,precision,recall,f1,n_predicted_interesting
0.05,0.3846,0.9091,0.5405,26
0.1,0.6667,0.9091,0.7692,15
0.15,0.9,0.8182,0.8571,10
0.2,0.8889,0.7273,0.8,9
0.25,0.875,0.6364,0.7368,8
0.3,0.875,0.6364,0.7368,8
0.35,0.8333,0.4545,0.5882,6
0.4,0.8,0.3636,0.5,5
0.45,0.75,0.2727,0.4,4
0.5,0.75,0.2727,0.4,4
0.55,0.75,0.2727,0.4,4
0.6,0.75,0.2727,0.4,4
0.65,1.0,0.2727,0.4286,3
0.7,1.0,0.2727,0.4286,3
0.75,1.0,0.1818,0.3077,2
0.8,1.0,0.0909,0.1667,1
0.85,1.0,0.0909,0.1667,1
0.9,0.0,0.0,0.0,0
0.95,0.0,0.0,0.0,0
