PR Threshold Sweep (Catch22 + Balanced RF, 200 trees)
  n_train       : 432
  n_test        : 109
  AUC-ROC       : 0.9615
  AUC-PR        : 0.8280
  Best threshold: 0.15  (prec=0.9000  rec=0.8182  F1=0.8571  n_pred=10)

    thr    prec     rec      f1  n_pred
  ─────────────────────────────────────
   0.05  0.3846  0.9091  0.5405      26
   0.10  0.6667  0.9091  0.7692      15
   0.15  0.9000  0.8182  0.8571      10
   0.20  0.8889  0.7273  0.8000       9
   0.25  0.8750  0.6364  0.7368       8
   0.30  0.8750  0.6364  0.7368       8
   0.35  0.8333  0.4545  0.5882       6
   0.40  0.8000  0.3636  0.5000       5
   0.45  0.7500  0.2727  0.4000       4
   0.50  0.7500  0.2727  0.4000       4
   0.55  0.7500  0.2727  0.4000       4
   0.60  0.7500  0.2727  0.4000       4
   0.65  1.0000  0.2727  0.4286       3
   0.70  1.0000  0.2727  0.4286       3
   0.75  1.0000  0.1818  0.3077       2
   0.80  1.0000  0.0909  0.1667       1
   0.85  1.0000  0.0909  0.1667       1
   0.90  0.0000  0.0000  0.0000       0
   0.95  0.0000  0.0000  0.0000       0
