precision,recall,threshold
0.1009,1.0,0.0
0.1294,1.0,0.005
0.1618,1.0,0.01
0.2,1.0,0.015
0.2245,1.0,0.02
0.2391,1.0,0.025
0.2632,0.9091,0.03
0.303,0.9091,0.035
0.3226,0.9091,0.04
0.3704,0.9091,0.045
0.3846,0.9091,0.05
0.4348,0.9091,0.055
0.5,0.9091,0.06
0.5882,0.9091,0.07
0.6667,0.9091,0.1
0.7143,0.9091,0.11
0.6923,0.8182,0.115
0.8182,0.8182,0.145
0.9,0.8182,0.15
0.8889,0.7273,0.2
0.875,0.6364,0.325
0.8571,0.5455,0.33
0.8333,0.4545,0.385
0.8,0.3636,0.435
0.75,0.2727,0.6
1.0,0.2727,0.73
1.0,0.1818,0.785
1.0,0.0909,0.895
